"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"AMBER","Amber Enterprises India Limited","EQ"," Annual General Meeting","10","07-Sep-2018","-","11-Sep-2018","17-Sep-2018"
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","EQ"," Annual General Meeting/Dividend- Rs 6.00 Per Share","10","07-Sep-2018","-","11-Sep-2018","18-Sep-2018"
"ZENSARTECH","Zensar Technologies Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10 /- Per Share To Rs 2/- Per Share","2","07-Sep-2018","10-Sep-2018","-","-"
"MANPASAND","Manpasand Beverages Limited","EQ"," Annual General Meeting","10","07-Sep-2018","-","11-Sep-2018","13-Sep-2018"
"GANECOS","Ganesha Ecosphere Limited","EQ"," Annual General Meeting/Dividend Rs 1.50 Per Share","10","07-Sep-2018","-","11-Sep-2018","15-Sep-2018"
"UBL","United Breweries Limited","EQ"," Annual General Meeting/Dividend- Rs 2/- Per Share","1","07-Sep-2018","-","11-Sep-2018","17-Sep-2018"
"FIEMIND","Fiem Industries Limited","EQ"," Annual General Meeting/Dividend- Rs 9 Per Share (Date Revised)","10","07-Sep-2018","-","11-Sep-2018","17-Sep-2018"
"OMAXAUTO","Omax Autos Limited","EQ"," Annual General Meeting","10","07-Sep-2018","-","11-Sep-2018","17-Sep-2018"
"HMVL","Hindustan Media Ventures Limited","EQ"," Annual General Meeting/Dividend- Rs 1.20 Per Share","10","07-Sep-2018","-","11-Sep-2018","18-Sep-2018"
"MGL","Mahanagar Gas Limited","EQ"," Annual General Meeting/Dividend Rs 11/- Per Share","10","07-Sep-2018","-","11-Sep-2018","17-Sep-2018"
"NATCOPHARM","Natco Pharma Limited","EQ"," Annual General Meeting","2","10-Sep-2018","-","12-Sep-2018","15-Sep-2018"
"GARDENSILK","Garden Silk Mills Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"WILLAMAGOR","Williamson Magor & Company Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"IEX","Indian Energy Exchange Limited","EQ"," Annual General Meeting/Dividend Rs 22 Per Share","1","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"POWERGRID","Power Grid Corporation of India Limited","EQ"," Annual General Meeting/Dividend Rs 2.80 Per Share","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"COMPUSOFT","Compucom Software Limited","EQ"," Annual General Meeting/Dividend Re 0.1 Per Share","2","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"MARATHON","Marathon Nextgen Realty Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","5","10-Sep-2018","-","12-Sep-2018","19-Sep-2018"
"PNB","Punjab National Bank","EQ"," Annual General Meeting","2","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"NAHARPOLY","Nahar Poly Films Limited","EQ"," Dividend Re 0.50 Per Share","5","10-Sep-2018","-","12-Sep-2018","14-Sep-2018"
"NAHARSPING","Nahar Spinning Mills Limited","EQ"," Dividend Re 0.50 Per Share","5","10-Sep-2018","-","12-Sep-2018","14-Sep-2018"
"ONMOBILE","OnMobile Global Limited","EQ"," Annual General Meeting/Dividend Rs 1.50 Per Share","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"ZODJRDMKJ","Zodiac JRD- MKJ Limited","EQ"," Annual General Meeting/Dividend- Re 0.50 Per Share","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"DEN","Den Networks Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"ASIANTILES","Asian Granito India Limited","EQ"," Annual General Meeting/Dividend Rs 1.30 Per Share","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"ACLGATI","Allcargo Gati Limited","EQ"," Annual General Meeting/Dividend- Re 0.90 Per Share","2","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"CANDC","C & C Constructions Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"PRESTIGE","Prestige Estates Projects Limited","EQ"," Annual General Meeting/Dividend Rs 1.20 Per Share","10","10-Sep-2018","-","12-Sep-2018","17-Sep-2018"
"UJAAS","Ujaas Energy Limited","EQ"," Annual General Meeting","1","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"HCLTECH","HCL Technologies Limited","EQ"," Annual General Meeting","2","10-Sep-2018","-","12-Sep-2018","14-Sep-2018"
"20MICRONS","20 Microns Limited","EQ"," Annual General Meeting/Dividend- Re 0.35 Per Share","5","10-Sep-2018","-","12-Sep-2018","19-Sep-2018"
"FMNL","Future Market Networks Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","19-Sep-2018"
"AROGRANITE","Aro Granite Industries Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","17-Sep-2018"
"ARROWGREEN","Arrow Greentech Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","10","10-Sep-2018","-","12-Sep-2018","15-Sep-2018"
"NAHARCAP","Nahar Capital and Financial Services Limited","EQ"," Annual General Meeting/Dividend Rs 1.50 Per Share","5","10-Sep-2018","-","12-Sep-2018","14-Sep-2018"
"NITCO","Nitco Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","18-Sep-2018"
"PREMIER","Premier Limited","EQ"," Annual General Meeting","10","10-Sep-2018","-","12-Sep-2018","19-Sep-2018"
"AARTIIND","Aarti Industries Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","5","11-Sep-2018","-","14-Sep-2018","21-Sep-2018"
"SMSPHARMA","SMS Pharmaceuticals Limited","EQ"," Annual General Meeting/Dividend Re 0.25 Per Share","1","11-Sep-2018","-","13-Sep-2018","20-Sep-2018"
"SRIPIPES","Srikalahasthi Pipes Limited","EQ"," Annual General Meeting/Dividend Rs 6/- Per Share","10","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"SUPERHOUSE","Superhouse Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","10","11-Sep-2018","-","13-Sep-2018","29-Sep-2018"
"PUNJABCHEM","Punjab Chemicals & Crop Protection Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","13-Sep-2018","20-Sep-2018"
"KAKATCEM","Kakatiya Cement Sugar & Industries Limited","EQ"," Annual General Meeting/Dividend- Rs 3 Per Share","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"TNPL","Tamil Nadu Newsprint & Papers Limited","EQ"," Annual General Meeting/Dividend Rs 5 Per Share","10","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"LAMBODHARA","Lambodhara Textiles Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","5","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","EQ"," Buyback","1","11-Sep-2018","12-Sep-2018","-","-"
"KHANDSE","Khandwala Securities Limited","EQ"," Annual General Meeting (Date Revised)","10","11-Sep-2018","-","14-Sep-2018","21-Sep-2018"
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","EQ"," Annual General Meeting","5","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"PARAGMILK","Parag Milk Foods Limited","EQ"," Annual General Meeting/Dividend Re 0.75 Per Share","10","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"CONCOR","Container Corporation of India Limited","EQ"," Dividend- Rs 3.75 Per Share","5","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"EMMBI","Emmbi Industries Limited","EQ"," Annual General Meeting/Dividend Re 0.50 Per Share","10","11-Sep-2018","-","14-Sep-2018","24-Sep-2018"
"JAGRAN","Jagran Prakashan Limited","EQ"," Annual General Meeting/Dividend Rs 3 Per Share","2","11-Sep-2018","-","14-Sep-2018","24-Sep-2018"
"ARSHIYA","Arshiya Limited","EQ"," Annual General Meeting","2","11-Sep-2018","-","14-Sep-2018","18-Sep-2018"
"UMANGDAIRY","Umang Dairies Limited","EQ"," Dividend Re 0.25 Per Share","5","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"MALUPAPER","Malu Paper Mills Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","21-Sep-2018"
"PODDARMENT","Poddar Pigments Limited","EQ"," Annual General Meeting/Dividend Rs 3.50 Per Share","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"IITL","Industrial Investment Trust Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","21-Sep-2018"
"SICAL","Sical Logistics Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"JAIBALAJI","Jai Balaji Industries Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"PHOENIXLTD","The Phoenix Mills Limited","EQ"," Annual General Meeting/Dividend Rs 2.6 Per Share","2","11-Sep-2018","-","13-Sep-2018","18-Sep-2018"
"RELIGARE","Religare Enterprises Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","13-Sep-2018","20-Sep-2018"
"INSPIRISYS","Inspirisys Solutions Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"GLAXO","GlaxoSmithKline Pharmaceuticals Limited","EQ"," Bonus 1:1","10","11-Sep-2018","13-Sep-2018","-","-"
"GMRINFRA","GMR Airports Infrastructure Limited","EQ"," Annual General Meeting","1","11-Sep-2018","-","14-Sep-2018","21-Sep-2018"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","11-Sep-2018","-","13-Sep-2018","18-Sep-2018"
"GSFC","Gujarat State Fertilizers & Chemicals Limited","EQ"," Dividend Rs 2.2 Per Share","2","11-Sep-2018","-","13-Sep-2018","28-Sep-2018"
"INDIACEM","The India Cements Limited","EQ"," Annual General Meeting/Dividend- Re 0.80 Per Share","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"KEI","KEI Industries Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","2","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"BLS","BLS International Services Limited","EQ"," Annual General Meeting/Dividend Re 0.5 Per Share","1","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"BHEL","Bharat Heavy Electricals Limited","EQ"," Annual General Meeting/Dividend- Rs 1.02 Per Share","2","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"BANARISUG","Bannari Amman Sugars Limited","EQ"," Annual General Meeting/Dividend- Rs 10 Per Share","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"FMGOETZE","Federal-Mogul Goetze (India) Limited.","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"MARALOVER","Maral Overseas Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"PNC","Pritish Nandy Communications Limited","EQ"," Annual General Meeting","10","11-Sep-2018","-","14-Sep-2018","24-Sep-2018"
"NAGREEKEXP","Nagreeka Exports Limited","EQ"," Annual General Meeting","5","11-Sep-2018","-","14-Sep-2018","20-Sep-2018"
"PRAXIS","Praxis Home Retail Limited","EQ"," Annual General Meeting","5","11-Sep-2018","12-Sep-2018","-","-"
"RITES","RITES Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","10","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"SALSTEEL","S.A.L. Steel Limited","EQ"," Annual General Meeting (Date Revised)","10","11-Sep-2018","-","14-Sep-2018","01-Oct-2018"
"SHAHALLOYS","Shah Alloys Limited","EQ"," Annual General Meeting (Date Revised)","10","11-Sep-2018","-","14-Sep-2018","01-Oct-2018"
"ENGINERSIN","Engineers India Limited","EQ"," Annual General Meeting/Dividend Rs 1.50 Per Share","5","11-Sep-2018","-","13-Sep-2018","19-Sep-2018"
"NHPC","NHPC Limited","EQ"," Dividend- Re 0.28 Per Share","10","12-Sep-2018","-","15-Sep-2018","27-Sep-2018"
"IBULHSGFIN","Indiabulls Housing Finance Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","19-Sep-2018"
"CELEBRITY","Celebrity Fashions Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","25-Sep-2018"
"RUSHIL","Rushil Decor Limited","EQ"," Annual General Meeting/Dividend Re 0.50 Per Share","10","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"AHLUCONT","Ahluwalia Contracts (India) Limited","EQ"," Annual General Meeting/Dividend Re 0.30 Per Share","2","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"ARIES","Aries Agro Limited","EQ"," Annual General Meeting/Dividend Rs 2.30 Per Share","10","12-Sep-2018","-","15-Sep-2018","28-Sep-2018"
"CINEVISTA","Cinevista Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"SADBHAV","Sadbhav Engineering Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","1","12-Sep-2018","-","15-Sep-2018","27-Sep-2018"
"SHREERAMA","Shree Rama Multi-Tech Limited","EQ"," Annual General Meeting","5","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"RAMANEWS","Shree Rama Newsprint Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"SANCO","Sanco Industries Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"JISLDVREQS","Jain Irrigation Systems Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","2","12-Sep-2018","-","17-Sep-2018","28-Sep-2018"
"RCOM","Reliance Communications Limited","EQ"," Annual General Meeting","5","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"RELCAPITAL","Reliance Capital Limited","EQ"," Annual General Meeting/Dividend Rs 11 Per Share","10","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"RELINFRA","Reliance Infrastructure Limited","EQ"," Annual General Meeting/Dividend Rs 9.50 Per Share","10","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","10","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"RPOWER","Reliance Power Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"VITALCOMM","Vital Communications Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","19-Sep-2018"
"ASHOKA","Ashoka Buildcon Limited","EQ"," Annual General Meeting","5","12-Sep-2018","-","15-Sep-2018","19-Sep-2018"
"KAMDHENU","Kamdhenu Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","10","12-Sep-2018","-","16-Sep-2018","24-Sep-2018"
"VADILALIND","Vadilal Industries Limited","EQ"," Dividend Rs 1.25 Per Share","10","12-Sep-2018","-","15-Sep-2018","24-Sep-2018"
"ZEELEARN","Zee Learn Limited","EQ"," Annual General Meeting/Dividend Re 0.1 Per Share","1","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"DYNPRO","Dynemic Products Limited","EQ"," Annual General Meeting/Dividend Rs 1.50 Per Share","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"ABAN","Aban Offshore Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"ALICON","Alicon Castalloy Limited","EQ"," Annual General Meeting/Dividend Rs 4.25 Per Share","5","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"ANDHRSUGAR","The Andhra Sugars Limited","EQ"," Dividend- Rs 10 Per Share","2","12-Sep-2018","-","17-Sep-2018","26-Sep-2018"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","EQ"," Annual General Meeting/Dividend- Rs 5 Per Share","5","12-Sep-2018","-","15-Sep-2018","27-Sep-2018"
"FINCABLES","Finolex Cables Limited","EQ"," Annual General Meeting/Dividend- Rs 4 Per Share","2","12-Sep-2018","-","15-Sep-2018","25-Sep-2018"
"GANESHHOUC","Ganesh Housing Corporation Limited","EQ"," Annual General Meeting/Dividend- Rs 1.80 Per Share","10","12-Sep-2018","-","15-Sep-2018","28-Sep-2018"
"HINDALCO","Hindalco Industries Limited","EQ"," Dividend- Rs 1.20 Per Share","1","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"INDRAMEDCO","Indraprastha Medical Corporation Limited","EQ"," Annual General Meeting/Dividend- Rs 1.50 Per Share","10","12-Sep-2018","-","15-Sep-2018","24-Sep-2018"
"PDSL","PDS Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"TI","Tilaknagar Industries Limited","EQ"," Annual General Meeting","10","12-Sep-2018","15-Sep-2018","-","-"
"VADILALIND","Vadilal Industries Limited","EQ"," Dividend Rs 1.25 Per Share","10","12-Sep-2018","-","15-Sep-2018","24-Sep-2018"
"GOLDIAM","Goldiam International Limited","EQ"," Annual General Meeting (Purpose Revised)","2","12-Sep-2018","-","15-Sep-2018","24-Sep-2018"
"GOLDIAM","Goldiam International Limited","EQ"," Dividend- Rs 1.50 Per Share","2","12-Sep-2018","14-Sep-2018","-","-"
"GUJRAFFIA","Gujarat Raffia Industries Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"BAJAJHIND","Bajaj Hindusthan Sugar Limited","EQ"," Annual General Meeting","1","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"MOIL","MOIL Limited","EQ"," Dividend Re 2.50 Per Share","10","12-Sep-2018","14-Sep-2018","-","-"
"RKFORGE","Ramkrishna Forgings Limited","EQ"," Annual General Meeting/Dividend Re 1/- Per Share","2","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"VSSL","Vardhman Special Steels Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","27-Sep-2018"
"NITINSPIN","Nitin Spinners Limited","EQ"," Annual General Meeting/Dividend Rs 1.2 Per Share","10","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"OIL","Oil India Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","10","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"STAR","Strides Pharma Science Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","10","12-Sep-2018","-","15-Sep-2018","24-Sep-2018"
"SALZERELEC","Salzer Electronics Limited","EQ"," Dividend Rs 1.60 Per Share","10","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"TGBHOTELS","TGB Banquets And Hotels Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","28-Sep-2018"
"VICEROY","Viceroy Hotels Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"HUDCO","Housing & Urban Development Corporation Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","25-Sep-2018"
"DHANI","Dhani Services Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","21-Sep-2018"
"HINDSYNTEX","Hind Syntex Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"HISARMETAL","Hisar Metal Industries Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","10","12-Sep-2018","-","17-Sep-2018","27-Sep-2018"
"ESSENTIA","Integra Essentia Limited","EQ"," Annual General Meeting","1","12-Sep-2018","-","15-Sep-2018","27-Sep-2018"
"MMTC","MMTC Limited","EQ"," Annual General Meeting/Dividend Re 0.20 Per Share","1","12-Sep-2018","-","15-Sep-2018","28-Sep-2018"
"APEX","Apex Frozen Foods Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","10","12-Sep-2018","-","17-Sep-2018","21-Sep-2018"
"GENUSPAPER","Genus Paper & Boards Limited","EQ"," Annual General Meeting","1","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"DLF","DLF Limited","EQ"," Annual General Meeting/Dividend Re 0.80 Per Share (Purpose Revised)","2","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"TPLPLASTEH","TPL Plastech Limited","EQ"," Annual General Meeting/Dividend Rs 3.50 Per Share (Purpose Revised)","2","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"VARDHACRLC","Vardhman Acrylics Limited","EQ"," Annual General Meeting/Dividend- Rs 2 Per Share","10","12-Sep-2018","-","17-Sep-2018","27-Sep-2018"
"VLSFINANCE","VLS Finance Limited","EQ"," Annual General Meeting/ Dividend- Re 1 Per Share","10","12-Sep-2018","-","15-Sep-2018","20-Sep-2018"
"GODREJCP","Godrej Consumer Products Limited","EQ"," Bonus 1:2","1","12-Sep-2018","14-Sep-2018","-","-"
"PRABHAT","Prabhat Dairy Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"JUBLINDS","Jubilant Industries Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","26-Sep-2018"
"MANINFRA","Man Infraconstruction Limited","EQ"," Interim Dividend Rs 1.26 Per Share","2","12-Sep-2018","14-Sep-2018","-","-"
"MINDTECK","Mindteck (India) Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","10","12-Sep-2018","-","15-Sep-2018","28-Sep-2018"
"NDTV","New Delhi Television Limited","EQ"," Annual General Meeting","4","12-Sep-2018","-","15-Sep-2018","17-Sep-2018"
"COFORGE","Coforge Limited","EQ"," Dividend Rs 15 Per Share","10","12-Sep-2018","-","15-Sep-2018","28-Sep-2018"
"GULFPETRO","GP Petroleums Limited","EQ"," Annual General Meeting/Dividend Re 0.75 Per Share","5","12-Sep-2018","-","17-Sep-2018","21-Sep-2018"
"HEIDELBERG","HeidelbergCement India Limited","EQ"," Annual General Meeting/Dividend Rs 2.5 Per Share","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"HIMATSEIDE","Himatsingka Seide Limited","EQ"," Annual General Meeting/Dividend Rs 2.50 Per Share","5","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"KECL","Kirloskar Electric Company Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"MAGNUM","Magnum Ventures Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"MOREPENLAB","Morepen Laboratories Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"AKSHOPTFBR","Aksh Optifibre Limited","EQ"," Annual General Meeting/Dividend Re 0.30 Per Share","5","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"APOLLO","Apollo Micro Systems Limited","EQ"," Annual General Meeting","1","12-Sep-2018","-","17-Sep-2018","20-Sep-2018"
"DPSCLTD","DPSC Limited","EQ"," Annual General Meeting/Dividend Re 0.05 Per Share","1","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"GEECEE","GeeCee Ventures Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","17-Sep-2018"
"ORIENTLTD","Orient Press Limited","EQ"," Annual General Meeting/Dividend- Rs 1.25 Per Share","10","12-Sep-2018","-","16-Sep-2018","22-Sep-2018"
"PIONDIST","Pioneer Distilleries Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"TREEHOUSE","Tree House Education & Accessories Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"VHL","Vardhman Holdings Limited","EQ"," Annual General Meeting/Dividend Rs 5 Per Share","10","12-Sep-2018","-","17-Sep-2018","27-Sep-2018"
"VIJIFIN","Viji Finance Limited","EQ"," Annual General Meeting/Dividend Re 0.01 Per Share","1","12-Sep-2018","-","15-Sep-2018","17-Sep-2018"
"VTL","Vardhman Textiles Limited","EQ"," Annual General Meeting/Dividend- Rs 15 Per Share","2","12-Sep-2018","-","17-Sep-2018","27-Sep-2018"
"NSIL","Nalwa Sons Investments Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","18-Sep-2018"
"BSELINFRA","BSEL Infrastructure Realty Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","19-Sep-2018"
"JSL","Jindal Stainless Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","18-Sep-2018"
"JSLHISAR","Jindal Stainless (Hisar) Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","17-Sep-2018","18-Sep-2018"
"JUBLPHARMA","Jubilant Pharmova Limited","EQ"," Annual General Meeting/Dividend Rs 3 Per Share","1","12-Sep-2018","-","15-Sep-2018","26-Sep-2018"
"TIMETECHNO","Time Technoplast Limited","EQ"," Dividend Re 0.80 Per Share","1","12-Sep-2018","-","17-Sep-2018","22-Sep-2018"
"AVADHSUGAR","Avadh Sugar & Energy Limited","EQ"," Dividend- Re 1 Per Share","10","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"JISLJALEQS","Jain Irrigation Systems Limited","EQ"," Annual General Meeting/Dividend- Re 1 Per Share","2","12-Sep-2018","-","17-Sep-2018","28-Sep-2018"
"RHFL","Reliance Home Finance Limited","EQ"," Annual General Meeting/Dividend Re 1 Per Share","10","12-Sep-2018","-","15-Sep-2018","18-Sep-2018"
"S&SPOWER","S&S Power Switchgears Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","19-Sep-2018"
"SATHAISPAT","Sathavahana Ispat Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","16-Sep-2018","29-Sep-2018"
"MUNJALSHOW","Munjal Showa Limited","EQ"," Annual General Meeting/Dividend Rs 4.50 Per Share","2","12-Sep-2018","-","15-Sep-2018","26-Sep-2018"
"SMSLIFE","SMS Lifesciences India Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","20-Sep-2018"
"ASTRON","Astron Paper & Board Mill Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","22-Sep-2018"
"INDTERRAIN","Indian Terrain Fashions Limited","EQ"," Annual General Meeting","2","12-Sep-2018","-","15-Sep-2018","25-Sep-2018"
"MTEDUCARE","MT Educare Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","17-Sep-2018","24-Sep-2018"
"ORTEL","Ortel Communications Limited","EQ"," Annual General Meeting","10","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"GENUSPOWER","Genus Power Infrastructures Limited","EQ"," Annual General Meeting/Dividend Re 0.41 Per Share","1","12-Sep-2018","-","15-Sep-2018","21-Sep-2018"
"TALBROAUTO","Talbros Automotive Components Limited","EQ"," Annual General Meeting/Dividend- Rs 1.50 Per Share","2","14-Sep-2018","-","18-Sep-2018","25-Sep-2018"
"DCM","DCM  Limited","EQ"," Annual General Meeting","10","14-Sep-2018","-","18-Sep-2018","24-Sep-2018"
"VENUSREM","Venus Remedies Limited","EQ"," Annual General Meeting","10","14-Sep-2018","-","18-Sep-2018","24-Sep-2018"
"ESTER","Ester Industries Limited","EQ"," Annual General Meeting","5","14-Sep-2018","-","18-Sep-2018","24-Sep-2018"
"MAGADSUGAR","Magadh Sugar & Energy Limited","EQ"," Dividend- Re 1 Per Share","10","14-Sep-2018","-","18-Sep-2018","25-Sep-2018"
"VARDMNPOLY","Vardhman Polytex Limited","EQ"," Annual General Meeting","10","14-Sep-2018","-","18-Sep-2018","24-Sep-2018"
